"Band1","Band2","Band3","Band4","Band5","Band6","Band7","Band8","NDVI","GNDVI","NDRE","NDWI","DVI","SR","Class","Class_int"
0.0889,0.0792,0.1208,0.1094,0.1474,0.1267,0.1674,0.3087,0.418006430868167,0.476680220043052,0.296786389413989,-0.476680220043052,0.182,2.43646408839779,"vegetation",1
0.0744,0.0569,0.1012,0.0859,0.1181,0.0871,0.1332,0.3057,0.556517311608961,0.561287027579162,0.393028024606972,-0.561287027579162,0.2186,3.5097588978186,"vegetation",1
0.0827,0.0745,0.1206,0.1077,0.1381,0.1239,0.1523,0.3025,0.418855534709193,0.474890297415895,0.330255057167986,-0.474890297415895,0.1786,2.44148506860371,"vegetation",1
0.0881,0.0609,0.1052,0.09,0.1158,0.0968,0.139,0.2697,0.471759890859482,0.499582985821518,0.319794470271593,-0.499582985821518,0.1729,2.78615702479339,"vegetation",1
0.0881,0.0609,0.1052,0.09,0.1158,0.0968,0.139,0.2697,0.471759890859482,0.499582985821518,0.319794470271593,-0.499582985821518,0.1729,2.78615702479339,"vegetation",1
0.0947,0.0708,0.1145,0.0967,0.1335,0.1125,0.1406,0.2571,0.391233766233766,0.45336348219333,0.292934372642696,-0.45336348219333,0.1446,2.28533333333333,"vegetation",1
0.0807,0.0518,0.0964,0.0822,0.1057,0.0805,0.1251,0.2568,0.522680106729914,0.515044247787611,0.344854673998429,-0.515044247787611,0.1763,3.19006211180124,"vegetation",1
0.0871,0.0789,0.1147,0.0981,0.1444,0.1288,0.1429,0.2376,0.296943231441048,0.415549597855228,0.248883048620237,-0.415549597855228,0.1088,1.84472049689441,"non-vegetation",0
0.0864,0.0722,0.1112,0.1007,0.1365,0.1255,0.1387,0.2186,0.270560883464109,0.369245223927341,0.223621606493143,-0.369245223927341,0.0931,1.74183266932271,"non-vegetation",0
0.0915,0.0729,0.1153,0.1002,0.1363,0.1189,0.1304,0.2185,0.295198577356254,0.371195481644179,0.252507881914589,-0.371195481644179,0.0996,1.8376787216148,"non-vegetation",0
0.0943,0.0777,0.1208,0.1066,0.1409,0.1286,0.1422,0.2289,0.280559440559441,0.364530551415797,0.233629749393694,-0.364530551415797,0.1003,1.77993779160187,"non-vegetation",0
0.0826,0.0683,0.1032,0.0889,0.1213,0.1088,0.1192,0.2021,0.300096494049534,0.389003436426117,0.258014316837846,-0.389003436426117,0.0933,1.85753676470588,"non-vegetation",0
0.0824,0.0726,0.1065,0.092,0.1292,0.1143,0.1321,0.206,0.286294099281923,0.38255033557047,0.21857438627625,-0.38255033557047,0.0917,1.80227471566054,"non-vegetation",0
0.1158,0.1037,0.1516,0.1462,0.1844,0.1745,0.1941,0.295,0.256656017039404,0.337262012692656,0.206297280719689,-0.337262012692656,0.1205,1.69054441260745,"non-vegetation",0
0.1093,0.0934,0.1361,0.1278,0.1712,0.1559,0.1745,0.2852,0.293130809340286,0.381113801452785,0.24080922340657,-0.381113801452785,0.1293,1.82937780628608,"non-vegetation",0
0.0956,0.0875,0.1254,0.1169,0.1546,0.1476,0.1627,0.2781,0.306553911205074,0.408101265822785,0.261796733212341,-0.408101265822785,0.1305,1.88414634146341,"non-vegetation",0
0.0907,0.0737,0.1083,0.0969,0.1355,0.1188,0.132,0.2295,0.317829457364341,0.40625,0.269709543568465,-0.40625,0.1107,1.93181818181818,"non-vegetation",0
0.0885,0.0706,0.112,0.0972,0.1363,0.124,0.1502,0.2416,0.321663019693654,0.426210153482881,0.233282286881062,-0.426210153482881,0.1176,1.94838709677419,"non-vegetation",0
0.089,0.0762,0.1195,0.105,0.1457,0.1372,0.1537,0.2555,0.301247771836007,0.41747572815534,0.248778103616813,-0.41747572815534,0.1183,1.86224489795918,"non-vegetation",0
0.0923,0.0739,0.1114,0.0984,0.1354,0.1236,0.1373,0.2233,0.287402709714615,0.388249922287846,0.238491403216861,-0.388249922287846,0.0997,1.80663430420712,"non-vegetation",0
0.093,0.0792,0.1125,0.1009,0.1393,0.1305,0.1453,0.2374,0.290568089154662,0.40348802837718,0.240658479226548,-0.40348802837718,0.1069,1.81915708812261,"non-vegetation",0
0.0976,0.0835,0.1199,0.1141,0.1517,0.1434,0.1628,0.2631,0.294464944649447,0.395015906680806,0.235501291382954,-0.395015906680806,0.1197,1.8347280334728,"non-vegetation",0
0.0918,0.0697,0.1126,0.0992,0.1452,0.1316,0.1488,0.2511,0.312255030049647,0.433628318584071,0.255813953488372,-0.433628318584071,0.1195,1.9080547112462,"non-vegetation",0
0.0801,0.0524,0.0853,0.0714,0.1022,0.0853,0.1081,0.1838,0.366034931252323,0.440438871473354,0.259335388831792,-0.440438871473354,0.0985,2.15474794841735,"non-vegetation",0
0.0793,0.0603,0.0987,0.0842,0.1251,0.1051,0.1193,0.2074,0.32736,0.422496570644719,0.269666360575451,-0.422496570644719,0.1023,1.97335870599429,"non-vegetation",0
0.0946,0.0804,0.1242,0.1147,0.1606,0.1473,0.1648,0.2558,0.269163979161498,0.380836707152497,0.216357584403234,-0.380836707152497,0.1085,1.73659198913781,"non-vegetation",0
0.0734,0.0534,0.0956,0.0807,0.1176,0.0995,0.1244,0.1977,0.330417227456258,0.420258620689655,0.22756907792611,-0.420258620689655,0.0982,1.98693467336683,"non-vegetation",0
0.0921,0.0757,0.1186,0.1095,0.1491,0.138,0.1507,0.2591,0.304960967010828,0.405860010851872,0.264519277696437,-0.405860010851872,0.1211,1.87753623188406,"non-vegetation",0
0.0672,0.0549,0.0937,0.0783,0.1143,0.1027,0.1295,0.2699,0.44873859366613,0.550258472142447,0.351527290936405,-0.550258472142447,0.1672,2.62804284323272,"non-vegetation",0
0.0634,0.052,0.0922,0.0763,0.1141,0.1023,0.1292,0.2658,0.444172779136104,0.553931598947676,0.345822784810127,-0.553931598947676,0.1635,2.59824046920821,"non-vegetation",0
0.0625,0.0391,0.0739,0.0534,0.0847,0.066,0.0917,0.2268,0.549180327868852,0.618843683083512,0.424175824175824,-0.618843683083512,0.1608,3.43636363636364,"non-vegetation",0
0.0673,0.0405,0.0742,0.0529,0.0852,0.064,0.0892,0.2137,0.539070939863162,0.603150787696924,0.411026741498844,-0.603150787696924,0.1497,3.3390625,"non-vegetation",0
0.0687,0.0505,0.0934,0.0756,0.1158,0.1051,0.1345,0.2647,0.431584640346133,0.555686159271231,0.326152304609218,-0.555686159271231,0.1596,2.5185537583254,"non-vegetation",0
0.0649,0.0544,0.0917,0.0781,0.1122,0.1073,0.128,0.2748,0.438366919654541,0.557381694531029,0.364448857994042,-0.557381694531029,0.1675,2.56104380242311,"non-vegetation",0
0.0623,0.0491,0.0863,0.0744,0.1103,0.0988,0.1271,0.2659,0.45818480943241,0.56273875991772,0.353180661577608,-0.56273875991772,0.1671,2.6912955465587,"non-vegetation",0
0.0595,0.0371,0.0705,0.0515,0.0807,0.0645,0.0845,0.2055,0.522222222222222,0.599221789883268,0.417241379310345,-0.599221789883268,0.141,3.18604651162791,"non-vegetation",0
0.0657,0.0396,0.077,0.0557,0.0869,0.0668,0.0909,0.2107,0.518558558558559,0.581831831831832,0.397214854111406,-0.581831831831832,0.1439,3.15419161676647,"non-vegetation",0
0.0583,0.035,0.0662,0.0502,0.0774,0.0575,0.0794,0.2042,0.560565533053114,0.605345911949685,0.440056417489422,-0.605345911949685,0.1467,3.55130434782609,"non-vegetation",0
0.057,0.0299,0.0626,0.0431,0.0724,0.0466,0.0687,0.1946,0.613598673300166,0.637358014303744,0.478161792631979,-0.637358014303744,0.148,4.17596566523605,"non-vegetation",0
0.0691,0.0445,0.0801,0.0625,0.0996,0.0827,0.1096,0.25,0.502855425308085,0.6,0.390433815350389,-0.6,0.1673,3.0229746070133,"non-vegetation",0
0.0913,0.0818,0.1184,0.1069,0.1461,0.1325,0.1459,0.2553,0.316658071170707,0.409718387631143,0.272681954137587,-0.409718387631143,0.1228,1.92679245283019,"non-vegetation",0
0.0927,0.0766,0.1194,0.1101,0.1491,0.1428,0.1625,0.2635,0.297071129707113,0.410599571734475,0.237089201877934,-0.410599571734475,0.1207,1.8452380952381,"non-vegetation",0
0.0552,0.0307,0.0656,0.0445,0.0717,0.0437,0.0519,0.1204,0.467397928092626,0.460278956943602,0.397562391178178,-0.460278956943602,0.0767,2.75514874141876,"non-vegetation",0
0.0557,0.0296,0.065,0.0472,0.0741,0.043,0.05,0.1139,0.451880178457616,0.414028553693358,0.38987187309335,-0.414028553693358,0.0709,2.64883720930233,"non-vegetation",0
0.0558,0.0348,0.0652,0.045,0.0712,0.0448,0.0437,0.1193,0.453991468616697,0.452221545952526,0.463803680981595,-0.452221545952526,0.0745,2.66294642857143,"non-vegetation",0
0.0578,0.029,0.0656,0.0457,0.07,0.0448,0.0558,0.1346,0.500557413600892,0.493067110371603,0.413865546218487,-0.493067110371603,0.0898,3.00446428571429,"non-vegetation",0
0.0531,0.0328,0.0657,0.0448,0.0742,0.0429,0.0576,0.1493,0.553590010405827,0.538382277176713,0.443209279845336,-0.538382277176713,0.1064,3.48018648018648,"non-vegetation",0
0.0479,0.0345,0.0633,0.0426,0.0714,0.0449,0.0532,0.1214,0.460012026458208,0.480487804878049,0.390607101947308,-0.480487804878049,0.0765,2.70378619153675,"non-vegetation",0
0.0554,0.0305,0.0646,0.0453,0.0709,0.0415,0.0582,0.1562,0.580171977744057,0.550372208436725,0.457089552238806,-0.550372208436725,0.1147,3.76385542168675,"non-vegetation",0
0.0526,0.0291,0.0613,0.0426,0.0674,0.0395,0.0472,0.1238,0.516227801592162,0.487980769230769,0.447953216374269,-0.487980769230769,0.0843,3.13417721518987,"non-vegetation",0
0.0558,0.0281,0.0605,0.0411,0.0675,0.0365,0.0457,0.1383,0.582379862700229,0.54180602006689,0.503260869565218,-0.54180602006689,0.1018,3.78904109589041,"non-vegetation",0
